"","X","Date","Open","High","Low","Last","Close","Total.Trade.Quantity","Turnover..Lacs."
"189",189,"2015-08-16",1165,1168.7,1143.1,1148.45,1149.25,2554533,29578.93
"190",190,"2015-08-23",1140.9,1160.95,1117.5,1143.9,1149.9,5411071,61975.61
"191",191,"2015-08-30",1101.6,1124.9,1101.6,1114.4,1111.05,3604410,40181.2
"192",192,"2015-09-06",1103,1111,1067,1074.9,1073.95,3659444,39494.57
"193",193,"2015-09-13",1091.55,1106.4,1085.5,1091.9,1090.75,4941905,54122.66
"194",194,"2015-09-20",1111.8,1117.9,1099.05,1101.3,1104.45,5788438,64203.02
"195",195,"2015-09-27",1113.5,1152.7,1110,1141.25,1140.55,6699631,76260.05
"196",196,"2015-10-04",1169.9,1197.75,1160,1173.05,1173.05,5432197,64069.92
"197",197,"2015-10-11",1136,1172.9,1136,1170.9,1167.4,5891069,68003.1
"198",198,"2015-10-18",1099,1101.4,1090,1093,1094.9,3209496,35139.19
"199",199,"2015-10-25",1141.8,1153,1125.1,1149,1149.9,3016681,34430.81
"200",200,"2015-11-01",1145,1145,1130,1132,1135.45,2022338,22953.9
"201",201,"2015-11-08",1123,1143.9,1122.9,1140.2,1138.3,1513086,17216.66
"202",202,"2015-11-15",1099.95,1106,1090,1097,1100.8,1760434,19319.92
"203",203,"2015-11-22",1048,1063.2,1042.05,1051,1052.4,3041489,32052.2
"204",204,"2015-11-29",1058,1070,1045,1066,1066.35,2571239,27280.63
"205",205,"2015-12-06",1049,1064.9,1040.1,1048.85,1049.05,4187765,43859.28
"206",206,"2015-12-13",1054,1061.9,1045.9,1055.65,1052.8,2695099,28376.07
"207",207,"2015-12-20",1103.4,1103.4,1079.45,1085.95,1083.15,3609910,39236.51
"208",208,"2015-12-27",1102.05,1104.45,1090.1,1095.8,1096.35,615027,6739.7
"209",209,"2016-01-03",1100,1108.95,1093.2,1103,1105.25,903275,9964.33
"210",210,"2016-01-10",1061.5,1067.4,1055.5,1064.65,1063.3,1578358,16755.22
"211",211,"2016-01-17",1148,1164,1137.55,1140,1139.9,6518307,74819.37
"212",212,"2016-01-24",1148.1,1152.5,1131,1140,1136.25,3218009,36668.8
"213",213,"2016-01-31",1138,1170,1131.6,1166,1164.9,5116054,59120.64
"214",214,"2016-02-07",1175.5,1186.65,1171.85,1176.85,1174.7,1992112,23479.16
"215",215,"2016-02-14",1094.7,1104.4,1067,1084.75,1084.65,3704048,40144.09
"216",216,"2016-02-21",1119.2,1134.2,1113.85,1123.45,1127.25,1987009,22368.25
"217",217,"2016-02-28",1120.15,1132,1116,1122.1,1121.15,2117818,23753.37
"218",218,"2016-03-06",1175.6,1185,1159.1,1175.3,1170.65,2140840,25133
"219",219,"2016-03-13",1146.2,1155.95,1138.2,1141,1143,2029274,23307.56
"220",220,"2016-03-20",1162.8,1199,1162,1190,1193.4,4238711,50122.57
"221",221,"2016-03-27",1190,1210.7,1182.1,1208.8,1207.8,3166588,37869.38
"222",222,"2016-04-03",1216,1222.2,1195.1,1207.6,1205.45,2755714,33293.32
"223",223,"2016-04-10",1175.85,1177.5,1162.05,1167.25,1165.75,2097789,24523.93
"224",224,"2016-04-17",1194.95,1194.95,1166.35,1176,1172.7,6255693,73590.84
"225",225,"2016-04-24",1226.3,1228.5,1207,1212.75,1211.25,2571969,31273.65
"226",226,"2016-05-01",1211.45,1223.55,1205,1206.2,1208.1,2518205,30510.21
"227",227,"2016-05-08",1189.8,1189.8,1177.05,1179,1181.5,1298360,15345.52
"228",228,"2016-05-15",1206,1210,1192.15,1208,1207.25,2826032,33981.42
"229",229,"2016-05-22",1205,1219.5,1200,1200.9,1201.6,1997274,24151.93
"230",230,"2016-05-29",1231.6,1259.5,1231.6,1245,1247.5,3090382,38615.55
"231",231,"2016-06-05",1260.05,1279.3,1260.05,1267,1266.9,1999190,25418.22
"232",232,"2016-06-12",1175.4,1190,1170.1,1181,1180.6,3191978,37674.82
"233",233,"2016-06-19",1189,1192.75,1175.1,1179.45,1179.5,4257541,50218.28
"234",234,"2016-06-26",1188,1199,1160,1191.2,1194.55,3904174,46343.23
"235",235,"2016-07-03",1180,1180,1170.1,1171.05,1172.4,1995956,23440.43
"236",236,"2016-07-10",1163,1167,1153.5,1161.95,1158.2,2775824,32235.21
"237",237,"2016-07-17",1189.5,1189.9,1052,1070.8,1072.55,30742063,333665.91
"238",238,"2016-07-24",1077.25,1084.9,1055.15,1081,1081.95,7166412,76823.62
